Age,Salary,Experience,Study_Hours,Attendance,Assignments_Completed,Total_Assignments,Math,Science,English,City,Random_ID,Final_Marks
22,30000,0,3,65,6,10,55,60,58,Hyderabad,1001,58
25,50000,2,5,75,8,10,65,68,70,Delhi,1002,68
28,65000,4,7,85,9,10,78,80,82,Mumbai,1003,81
23,35000,1,4,70,7,10,60,62,65,Hyderabad,1004,63
30,80000,6,8,90,10,10,88,85,90,Bangalore,1005,89
26,55000,3,6,80,8,10,72,75,70,Delhi,1006,73
35,120000,10,9,95,10,10,92,90,94,Mumbai,1007,92
21,28000,0,2,60,5,10,50,55,52,Hyderabad,1008,53
24,42000,1,4,72,7,10,62,65,60,Chennai,1009,63
29,70000,5,7,88,9,10,82,85,80,Bangalore,1010,83
32,95000,8,8,92,10,10,90,88,91,Delhi,1011,90
27,60000,3,6,78,8,10,70,72,75,Hyderabad,1012,72
40,150000,15,10,98,10,10,95,94,96,Mumbai,1013,95
22,32000,0,3,66,6,10,56,58,60,Chennai,1014,58
31,85000,7,8,91,9,10,86,84,88,Bangalore,1015,86
25,48000,2,5,74,7,10,64,67,65,Hyderabad,1016,65
38,135000,12,9,96,10,10,93,91,95,Delhi,1017,93
23,36000,1,4,68,6,10,58,61,57,Mumbai,1018,59
28,68000,4,7,84,9,10,80,78,83,Chennai,1019,80
34,110000,9,9,94,10,10,91,89,92,Bangalore,1020,91
