Student_ID,Age,Study_Hours,Attendance,Math,Science,English,Assignments_Completed,Total_Assignments
S001,18,2,65,55,60,58,6,10
S002,19,3,70,62,65,64,7,10
S003,20,4,75,70,72,68,8,10
S004,18,2.5,68,58,62,60,7,10
S005,21,5,85,82,80,84,9,10
S006,19,3.5,72,68,70,66,8,10
S007,22,6,90,88,85,91,10,10
S008,18,1.5,60,48,52,50,5,10
S009,20,4.5,78,75,73,76,8,10
S010,21,5.5,88,84,86,82,9,10
S011,19,2.8,67,60,58,62,6,10
S012,22,7,94,92,90,95,10,10
S013,20,3.8,76,72,75,70,8,10
S014,18,2.2,64,52,55,57,6,10
S015,21,6.5,91,90,88,92,10,10
S016,19,4.2,80,78,76,80,9,10
S017,22,7.5,96,95,93,97,10,10
S018,20,3,70,64,67,65,7,10
S019,18,1.8,62,50,48,53,5,10
S020,21,5,86,81,83,79,9,10
S021,19,4.8,82,77,80,75,8,10
S022,22,6.8,93,89,92,90,10,10
S023,20,2.7,69,57,61,59,6,10
S024,18,3.2,73,65,63,67,7,10
S025,21,5.8,89,86,84,88,9,10
S026,19,4,79,74,71,73,8,10
S027,22,7.2,95,94,91,93,10,10
S028,20,2.5,66,56,59,54,6,10
S029,18,3.6,74,69,66,70,8,10
S030,21,6.2,92,87,89,85,10,10
