Age,Study_Hours,Attendance,Previous_Marks,City,Branch,Admission
18,5,85,78,Hyderabad,CSE,1
19,6,90,85,Delhi,AIML,1
20,7,92,88,Mumbai,CSE,1
18,3,70,65,Chennai,ECE,0
21,8,95,91,Hyderabad,AIML,1
19,4,75,72,Bangalore,IT,0
22,9,96,94,Delhi,CSE,1
20,5,82,80,Mumbai,ECE,1
18,2,65,60,Chennai,IT,0
21,7,89,86,Hyderabad,CSE,1
19,3,68,64,Bangalore,ECE,0
22,8,93,90,Delhi,AIML,1
20,6,85,83,Mumbai,IT,1
18,4,74,70,Chennai,CSE,0
21,9,97,95,Hyderabad,AIML,1
19,5,80,76,Bangalore,CSE,1
22,7,91,87,Delhi,IT,1
20,3,69,62,Mumbai,ECE,0
18,6,84,79,Chennai,AIML,1
21,8,94,92,Hyderabad,CSE,1
19,2,63,58,Bangalore,IT,0
22,9,98,96,Delhi,CSE,1
20,4,76,73,Mumbai,AIML,0
18,5,81,77,Chennai,ECE,1
21,7,90,89,Hyderabad,IT,1
19,3,71,66,Bangalore,CSE,0
22,8,95,93,Delhi,AIML,1
20,6,87,84,Mumbai,CSE,1
18,2,60,55,Chennai,IT,0
21,9,96,94,Hyderabad,AIML,1
